,detail
724,Robidog Sammelstelle ist weg. Es liegen etliche Beutel im Gras.
733,Seit über 2 Woche hat jemand Abfall am Strassenrand deponiert.
735,Ein Berg Papier ist liegen geblieben
745,Kanalisation auf dem Trottoir ist verstopft Ecke Manessestr Hallwylstr
747,"Aufgerissene Zürisäcke, herumliegender Abfall"
748,"Nach jedem Regenfall ist die Treppe und der Fussweg zwischen Station Goldauerstrasse in der Rigistrasse voller feuchter Erde, ein schlüpfriges Schlammbad. <br/>  <br/> Hilfreich wäre zudem eine Rampe über die Treppenstufen, so dass Postiwägeli, Rollkoffer oder ein gestossenes Velo nicht getragen werden müssen."
753,Sperrgut auf Trottoir seit 1Woche..
754,Leimbachstrasse (kath.Kirche) Möbel auf Trottoir entsogt (seit mehreren Tagen)
760,"Das Wartehäuschen am Bahnhof Seebach ist oft (so auch am Samstag, 10.05.13) total verschmutzt."
765,Bachdurchlass beim talseitigen Auslass Höhe Frohburgstrasse 168 infolge Laub und Geschwemmsel am Gitter beinahe verstopft. Überlaufgefahr!
769,Fahrmischer hat beton verloren. Liegt auf der strasse
770,Beton auf der strasse
777,Illegal entsorgt. Vor Haus Scheffelstrasse 51
778,ERZ Container versprayt
785,ERZ Container versprayt und verklebt
786,Robidog versprayt und verklebt
787,ERZ Container versprayt
797,"Der Gleisbereich entlang der ganzen Perronlänge am Bhf Wipkingen gleicht einer Müllhalde. Dosen, Flaschen, Papier, Essensreste wohin man sieht. Die eine oder andere Flasche ist seit Jahren am selben Ort. Reinigung ist am ganzen Bahnhof ein Fremdwort. Ich habe die SBB mehrmals abgeschrieben, leider ohne Ergebnis. :-("
808,Kein einziger abfalleimer in der bahnhofsunterführung im bahnhof tiefenbrunnen.....
815,Abfallcontainer werden mit allem Müll in durchsichtigen Gratissäcken gefüllt! 
821,Müllentsorgung 
823,"Grüezi Schon vor geraumer Zeit habe ich den ständigen Abfallhaufen vor dem Eingang zur Forchstrasse 217 gemeldet. Leider hatte ich keinen Erfolg. Die Betreiber des Seconhand-Ladens haben mir heute gesagt, dass sie jeden Morgen mit dem Kübel reinigen. Es ist eine Schande! Zwischen den Pflastersteinen wächst das Gras. Wir haben 7 Parkplätze vor dem Haus. Was denken wohl die parkierenden Leute von der Stadt? Was liegt dort herum: Pizzakartons Petflaschen Papier in rauher Menge Zigistummel Bitte unternehmen etwas. Ihr Reinigungswagen hatte wohl bisher keine Zeit. Ich bedanke mich noch für die schnelle Pflastersteinreparatur. Vielen Dank für Ihre Aufmerksamkeit. "
840,"Problem wurde schon ERZ gemeldet. Abfallkübel Defekt, Kübel kann nicht eingehängt werden, wen der Kübel einfach nur dort steht fallen mehrere Eidechsen in den Kübel und kommen nicht mehr raus."
843,Schmierereien auf einer Bank am Steinfelsplatz
844,Liegengebliebener Betonblock für Absperrgitter beim Technopark.
850,Unbedingt WC reinigen.
851,"Unrat wie Sofas, Gartenabfällen, Teppiche und diverser anderer Müll liegt teils seit Monaten an dieser Stelle und wird wöchentlich mehr statt weniger."
854,"Neben dem Weg vom Letzigraben zum Stadion Utogrund, neben Freibad Letzigraben, liegt seit längerer Zeit verschiedener Abfall."
866,"Papier nicht abgeholt, obwohl gestern Sammeltag. Passiert immer wieder."
868,"Müll und dauerhafter Regenwasserteich auf dem Dach der Bahnhoftoilette Wipkingen. Dieser Zustand ist oberhalb der Treppe für jeden S-Bahn Fahrgast ersichtlich und ist eine Schande für Zürich. In Tageszeitung war vor einigen Monaten zu lesen, dass die zerstörte Toilette vom Quartierverein Wipkingen betrieben werden soll. Der Verein soll sich aber über eine Mitfinanzierung durch die Stadt Zürich nicht einig sein. Diese Toilette gehört schnellstens renoviert und in Betrieb gesetzt. Das ganze Bahnhofsareal benötigt mehr Unterhalt. Graffiti und Müll überall. Die Unterführung zu den Gleisen ist in der Dunkelheit nicht immer beleuchtet beleuchtet. Als eine ältere Person hab ich dort oft kein Gutes Gefühl. Kann man keine Kameras anbringen? Danke"
869,"Mehrere Abfalldeponien im Gebüsch auf dem Fussweg, paralell zur Autobahn."
870,"Mehrere Abfalldeponien im Gebüsch auf dem Fussweg, paralell zur Autobahn."
878,Jemand deponiert hier ca 1 mal pro woche Abfall.
886,An der Ecke Badenerstrasse Pflanzschulstrasse beim Elektrokasten liegen Scherben von einer zerbrochenen Weinflasche. 
888,"Wenn es die Temperaturen erlauben geniesse ich es mich im Leutschenpark zu erholen. Die Anlage besteht nun schon ein paar Jahre und es ist dringend nötig dort die Sitzflächen mit einem Dampfstrahler zu reinigen. Mittlerweile macht man sich wirklich dreckig, wenn man sich dort niedersetzt oder -legt. Ich würde mich sehr freuen, wenn Sie sich meinem Anliegen annehmen. Besten Dank"
889,"Immer wieder wird illegal Elektroschrott, Haushaltgegenstände, die in das Brockenhaus oder in den Kehricht gehören an der Sihlamtsstrasse, v.a. vor der KITA deponiert."
894,Die Region um die Tankstelle ist immer voll Abfall - so am Felsenreinweg zwischen der Tankstelle und dem Bahnhoff Seebach oder in den Gruben für die Bäume an der Schaffhauserstrasse.
903,"Sperrgut (Sofa) zwischen den Häuser auf einer Mauer, bei den ERZ Container. Liegt schon länger da. Die VBZ ersatz Halltestelle Grünaustrasse ist direkt gegenüber, kein schöner Anblick."
904,Papier nicht abgeholt
906,"Sehr geehrte Damen und Herren, <br/>  <br/> Der Pausenplatz des Schulhauses Gabler, Schulhausstrasse 21, 8002, wird bei starkem Regen regelmässig verschmutzt. Das Bord zwischen dem Joachim-Hefti-Weg und dem Pausenplatz verwandelt sich dann in eine nasse Erdhalde, die gleich einer Rutschbahn, alle Erde direkt auf den Pausenplatz spült. Dort sammelt sich dann ein Schwemmkegel an, der dann einige Zeit als Brei auf dem Pausenplatz bestehen bleibt, bis er sich innert Monaten dann vielleicht verstaubt hat. Der Mangel besteht schon seit sehr langer Zeit und kommt immer wieder vor."
909,"Auf dem Parkplatz liegen Glasscherben, direkt bei der Einfahrt."
912,"Abfall, der nicht hingehört und nicht entsorgt wird"
913,"Hingeworfener abfall, sperrgut"
914,"Abfallstelle im gut, immer viel abfall, der hier nicht hingehört, zb plastik, karton, altpapier"
916,"Abwasser gestank, Mühlegasse ecke Niederdorstr. "
945,Im Lift zur Tramstation Tierspital und in der dazugehörigen Unterführung hat jemand hingekotzt. <br/>  <br/> Danke!!!
948,Anfall verstreut
950,Ganzer Müll am boden
951,"Guten Tag, An der Käferholzstesse, höhe Einfahrt zum Krematorium ist der Deckel zur Kanalisation nicht richtig verschlossen (stolpergefahr) Danke fürs Nachschauen. "
965,Bei der Haltestelle ETH/Universität in Richtung HB hat es einen defekten Mülleimer. Der obere Teil (Aschenbecher) ist kaputt bzw. Nicht mehr vorhanden.
967,"Seit Wochen steht vis à vis des Hauseinganges Trittligasse 2 ein wohl gestohlenes blaues Damenfahrrad, Marke Clio."
968,Wildes Werbeplakat wurde aufgestellt.
969,Illegale Abfallentsorgung auf Trottoir
971,Dieser Abfluss läuft bei leichtem Regen nicht mehr ab. Habe ich schon mehrmals beobachtet. :-S
981,Wild deponierter abfall
983,Wild entsorgter abfall
985,Illegale Abfallentsorgung (Röhren-Fernsehapparat)
988,Wöchentlich wiederkehrende illegale Abfalldeponie
992,"Computerbildschirm liegt desolat in der Natur direkt neben dem Tennisplatz, Seite Imbisbühlstrasse."
1004,"Seit Mittwoch Nachmittag liegen hier Kartonschachtel und es werden immer mehr, da alle Leute meinen es sei eine Deponie. Sogar Die Adr. Sind von denjenigen Leuten darauf die die Karton dort ablegten. Ich bitte um Ordnung."
1010,Immer wieder illegal entsorgter Abfall im Müllcontainer (in schwarzen Abfallsäcken entsorgter Haushaltsmüll)
1011,Immer wieder massive illegale Ablagerung von Sperrmüll vor EWZ Verteilerkasten. 
1017,Hier wird seid wochen immer wieder abfall deponiert.
1024,"Möbel werden einfach nach draussen gestellt,wenn sie nicht mehr gebraucht werden"
1030,Müll im Wald
1031,Es gibt leider wieder jenen illegalen Abfall ...
1032,Abfall auf dem Trottoir
1033,Illegale Entsorgung
1050,"Total vermüllt seit Monaten. Es liegen gebrauchte Kondome, zerbrochene Flaschen, illegal entsorgte Müllsäcke, Dosen etc quer über den Parkplatz. Wäre schön wenn man auch diesen Flecken Stadt etwas sauberer halten könnte."
1053,"Graffiti, glasscherben, defekte velos. Zugang nord (kalkbreite) zu bahnhof wiedikon."
1055,Verschmutzer strasse
1056,Gruezi! Der gesamte Bahnhof Selnau ist sehr dreckig. Insbesondere in beiden Zugängen an Wänden wie auch der Decke. Man sieht es schon beim Betreten. Denke ist eigentlich nen Job der SBB aber ich wollte mal dieses super App verwenden. Kompliment
1057,Es liegen viele Glasscherben auf Strasse und Veloweg
1082,Jeden Mittwoch die selbe Sauerei von den anliegenden Restaurants nicht gebündelter Karton
1086,"Habe schon mal gemeldet, dass der Robidog weg ist. Man hat mir geschrieben, dass die Beutel nachgefüllt werden. Der alte Standort ist aber immer noch nicht gereinigt und der Robidogkübel fehlt noch immer. Warum? MfG "
1088,Abfall mitten auf der Strasse und in den umliegenden Gärten. Wohl kaum von Tieren sondern von Menschen verstreut.
1098,An dieser Stelle werden Sachen leider sehr oft schwarz entsorgt... Mit besten Grüssen
1109,Meteorschacht neben dem Fussgängerstreifen läuft nicht ab. Stand der Meldung: 31.5.13 um 17:00
1113,Illigaler Müll und Einkaufswagen.
1121,Die neue Überbauung am (ebenso neuen) Wolframplatz 10-16 ist seit über 2 Monaten in Betrieb - aber die Adresse scheint noch nicht Eingang in die Sammelorganisation von Altpapier und Altkarton gefunden zu haben. Die Papier- und Kartonberge bleiben immer wieder liegen. Danke für das Aufnehmen dieser neuen Adresse! (Wolframplatz 15)
1122,Hier hat jemand das Datum für die Karton-Abfuhr falsch nachgeschaut! Jetzt liegt der Karton durchnässt vor dieser Liegenschaft.
1124,Weg zum Katzensee unpassierbar wegen nicht ablaufendem Wasser
1133,Unterführung ist total verschlammt durch das Hochwasser. Der Weg ist nicht mehr passierbar.
1138,"Möbel stehen schon länger hier bei Roggenstrasse 10, 8005 Zürich, rum. Bei Roggenstrasse 8 stehen fünf Zeitungsbündel rum. Die Roggenstrasse sollte wieder einmal gereinigt werden, da Flaschen, Dosen und sonstiger Abfall rumsteht. Besten Dank"
1143,Velounterführung giesshübelbrücke voll schlamm
1146,Abfallkübel angeschwemmt im Schanzengraben.
1147,Velo Unterführung ~10cm tief voller Schlamm.
1148,Unterführung ist nach Hochwasser verschlammt. Die Strecke ist so gefährlich für Velos und unpassierbar für Fussgänger (ausser man watet durch den Schlamm).
1149,Velo Unterführung ~10cm tief voll Schlamm.
1162,Verschlammte Fussgänger-/Velo-Unterführung seit dem Hochwasser.
1163,Neue woche neuer Abfall. Wieder an der gleichen stelle.
1166,"Zentimerdicke Matsch, sehr rutschig"
1168,Illegal entsorgte Eisenstoren
1177,Total kaputtes Velo
1186,Abfall wurde vermutlich illegal entsorgt. (Gesehen am: 05.06.2013)
1189,Hier steht ein Haufen mit Altkarton. Wohl illegal entsorgt. Kartonabfuhr kommt erst in mehreren Tagen. (Gesehen am: 05.06.2013)
1190,Altpapier wurde viel zu früh entsorgt. Steht seit mehreren Tagen dort. (Gesehen am: 05.06.2013)
1192,Zwischen Dienstgebäude SBB und gelbem Container liegt eine Fixerspritze am Boden.
1217,Illegale Entsorgung von Eisenstoren
1218,Glasscherben und Abfall säumen den Weg.
1223,Wachsender Berg illegal entsorgten Abfalls
1225,"Wie immer an schönen Abenden wird nach einer Grillparty ein riesen Chaos hinterlassen. Wäre eventuell angebracht, öfters durch die Polizei kontrollieren zu lassen."
1226,Spielplatz stark verschmutzt
1229,Mülleimer verschmiert und verklebt
1231,"Robidog wurde länger nicht mehr geleert. Ausserdem hatte jemand die geniale Idee, diesen als Grüngut zu missbrauchen. Nebenbei ist der Robidog verschmiert."
1233,Abfall deponiert
1238,"Wiederholt sammelt sich hier der Abfall an den Glascontainern. Eventuell Prüfung durch die Polizei, wer hier illegal immer den Abfall deponiert, es kommt nämlich ständig aufs neue vor. Kaum ist der Abfall entsorgt und der Containerplatz wieder schön, liegt schon wieder neuer Abfall dort. sehr grusig!"
1249,Hier hat jemand vermutlich illegal entsorgt
1264,Velo in Kanal beim Schanzengraben :-( (Brücke Bleicherweg nach Paradeplatz)
1265,Container quellen über.
1267,"In der Fussgängerunterführung Nordstrasse/Rosengartenstrasse befindet sich wieder einmal eine Menge an illegal entsorgtem Abfall (Decken, Kabel etc.)."
1276,Abfall seit 1 woche
1281,Scherben auf der Velo-Auffahrt am rechten Strassenrand
1289,"Abfallentsorgung in schwarzen Säcken, statt in den Containern. Immer wieder an dieser Stelle!"
1290,Jemand hat an der Luggwegstr. 2 geg. seine Abfälle entsorgt.
1291,Jemand hat an der Luggwegstrasse 2 geg. seine Abfälle entsorgt.
1294,Hallo ERZ Fernwärme. Gemäss Wirt Restaurant Birchegg verursacht der Schacht rechtsunten im Bild beim überfahren von schwereren Fahrzeugen den Gästen und Anwohnern zuviel Lärm. Ev. Kann durch eine Reinigung der Schachtdeckel Auflagefläche das Problem gelöst werden. VIELEN DANK!
1299,"Alter, zusammengelegter Teppich liegt im Grünstreifen, zwischen der Allmendstrasse und der Vorfahrt zu den Parkplätzen der SZU-Haltestelle ""Zürich-Brunau""."
1302,Der Karton wurde nicht abgeholt. Nun blieb auch das Papier liegen. 
